hebrew,transliteration,root,pos,gender,verb_group,pattern,number,other_descriptors,translation,pos_raw,entry_url,page
לְהִתְגַּלְגֵּל,lehitgalgel,ג - ל - ג - ל,Verb,,hitpa'el,,,,"to roll, to revolve",Verb – hitpa'el,https://www.pealim.com/dict/330-lehitgalgel/,86
גַּלְגַּל,galgal,ג - ל - ג - ל,Noun,,,,,,wheel,Noun,https://www.pealim.com/dict/3784-galgal/,86
גּוּלְגּוֹלֶת,gulgolet,ג - ל - ג - ל,Noun,feminine,,kuttolet,,,"skull, cranium","Noun – kuttolet pattern, feminine",https://www.pealim.com/dict/5103-gulgolet/,87
לְגַלְגֵּל,legalgel,ג - ל - ג - ל,Verb,,pi'el,,,,"to roll, to revolve (transitive)",Verb – pi'el,https://www.pealim.com/dict/329-legalgel/,87
גַּלְגָּלוֹן,galgalon,ג - ל - ג - ל,Noun,masculine,,,,,cartwheel (gymnastics),Noun – masculine,https://www.pealim.com/dict/6505-galgalon/,87
גַּלְגִּילּוֹן,galgilon,ג - ל - ג - ל,Noun,,,,,,"roller, pulley",Noun,https://www.pealim.com/dict/6639-galgilon/,87
גִּילְגּוּל,gilgul,ג - ל - ג - ל,Noun,masculine,,kittul,,,"rolling, rolling up; somersault; metamorphosis (zoology); lifetime, incarnation","Noun – kittul pattern, masculine",https://www.pealim.com/dict/6885-gilgul/,87
לְהַגְלִיד,lehaglid,ג - ל - ד,Verb,,hif'il,,,,"to scar over, to form a scab (of a wound)",Verb – hif'il,https://www.pealim.com/dict/4808-lehaglid/,87
גְּלִידָה,glida,ג - ל - ד,Noun,feminine,,ktila,,,ice cream,"Noun – ktila pattern, feminine",https://www.pealim.com/dict/6212-glida/,87
גּוֹלָה,gola,ג - ל - הּ,Noun,feminine,,,,,exile; diaspora,Noun – feminine,https://www.pealim.com/dict/8659-gola/,87
מְגוּלְווָן,megulvan,ג - ל - ו - ן,Adjective,,,mekuttal,,,galvanized,Adjective – mekuttal pattern,https://www.pealim.com/dict/6540-megulvan/,87
לְגַלֵּחַ,legaleach,ג - ל - ח,Verb,,pi'el,,,,to shave (transitive),Verb – pi'el,https://www.pealim.com/dict/336-legaleach/,87
לְהִתְגַּלֵּחַ,lehitgaleach,ג - ל - ח,Verb,,hitpa'el,,,,to shave,Verb – hitpa'el,https://www.pealim.com/dict/337-lehitgaleach/,87
גִּילּוּחַ,giluach,ג - ל - ח,Noun,masculine,,kittul,,,shaving,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/4989-giluach/,87
לִגְלוֹת,liglot,ג - ל - ה,Verb,,pa'al,,,,"to be exiled, deported",Verb – pa'al,https://www.pealim.com/dict/333-liglot/,87
לְהִיגָּלוֹת,lehigalot,ג - ל - ה,Verb,,nif'al,,,,"to become visible, to be revealed",Verb – nif'al,https://www.pealim.com/dict/334-lehigalot/,87
גְּלוּיָה,gluya,ג - ל - ה,Noun,feminine,,ktula,,,postcard,"Noun – ktula pattern, feminine",https://www.pealim.com/dict/3656-gluya/,87
תַּגְלִית,taglit,ג - ל - ה,Noun,feminine,,taktit,,,discovery,"Noun – taktit pattern, feminine",https://www.pealim.com/dict/3768-taglit/,88
גָּלוּת,galut,ג - ל - ה,Noun,feminine,,katut,,,exile; diaspora,"Noun – katut pattern, feminine",https://www.pealim.com/dict/3772-galut/,88
גַּלַּאי,galay,ג - ל - ה,Noun,masculine,,kattal,,,detector,"Noun – kattal pattern, masculine",https://www.pealim.com/dict/7465-galay/,88
לְגַלּוֹת,legalot,ג - ל - ה,Verb,,pi'el,,,,to discover,Verb – pi'el,https://www.pealim.com/dict/331-legalot/,88
לְהַגְלוֹת,lehaglot,ג - ל - ה,Verb,,hif'il,,,,"to deport, to exile",Verb – hif'il,https://www.pealim.com/dict/335-lehaglot/,88
גִּילּוּי,giluy,ג - ל - ה,Noun,masculine,,kittul,,,"discovery, revelation","Noun – kittul pattern, masculine",https://www.pealim.com/dict/6113-giluy/,88
גָּלוּי,galuy,ג - ל - ה,Adjective,,,katul,,,"open, revealed; manifest, obviously",Adjective – katul pattern,https://www.pealim.com/dict/5999-galuy/,88
לְהִתְגַּלּוֹת,lehitgalot,ג - ל - ה,Verb,,hitpa'el,,,,"to be discovered, to appear",Verb – hitpa'el,https://www.pealim.com/dict/332-lehitgalot/,88
גִּילָּיוֹן,gilayon,ג - ל - ה,Noun,masculine,,kittalon,,,"sheet (of paper); issue (newspaper, magazine)","Noun – kittalon pattern, masculine",https://www.pealim.com/dict/6796-gilayon/,88
לְגוֹלֵל,legolel,ג - ל - ל,Verb,,pi'el,,,,"to unwrap, to describe in detail",Verb – pi'el,https://www.pealim.com/dict/339-legolel/,88
לְהִתְגּוֹלֵל,lehitgolel,ג - ל - ל,Verb,,hitpa'el,,,,to roll (intransitive),Verb – hitpa'el,https://www.pealim.com/dict/340-lehitgolel/,88
מְגִילָּה,megila,ג - ל - ל,Noun,feminine,,mekila,,,scroll,"Noun – mekila pattern, feminine",https://www.pealim.com/dict/3789-megila/,88
גַּל,gal,ג - ל - ל,Noun,masculine,,kal,,,"wave; movement (art, fashion); pile, heap; shaft (mechanics)","Noun – kal pattern, masculine",https://www.pealim.com/dict/2653-gal/,88
גְּלוּלָה,glula,ג - ל - ל,Noun,feminine,,ktula,,,"pill, tablet","Noun – ktula pattern, feminine",https://www.pealim.com/dict/3657-glula/,88
גָּלִיל,galil,ג - ל - ל,Noun,masculine,,katil,,,"cylinder; roll (paper, fabric, etc.)","Noun – katil pattern, masculine",https://www.pealim.com/dict/8037-galil/,88
לִגְלוֹל,liglol,ג - ל - ל,Verb,,pa'al,,,,"to roll, to wrap (transitive)",Verb – pa'al,https://www.pealim.com/dict/338-liglol/,89
לְהִיגּוֹל,lehigol,ג - ל - ל,Verb,,nif'al,,,,"to roll, to be rolled (lit.); to be unrolled, to be revealed (lit.)",Verb – nif'al,https://www.pealim.com/dict/5478-lehigol/,89
גְּלִילָה,glila,ג - ל - ל,Noun,feminine,,ktila,,,"roll (of paper, etc.); rolling up","Noun – ktila pattern, feminine",https://www.pealim.com/dict/6646-glila/,89
גּוֹלֶם,golem,ג - ל - ם,Noun,masculine,,kotel,,,"pupa (entomology); dummy, ingot, bar, mould (manufacturing); golem, clay automaton (jewish folklore); fool, oaf (coll.)","Noun – kotel pattern, masculine",https://www.pealim.com/dict/7869-golem/,89
גּוֹלְמִי,golmi,ג - ל - ם,Adjective,,,,,,"raw, crude; gross, total",Adjective,https://www.pealim.com/dict/7870-golmi/,89
גְּלִימָה,glima,ג - ל - ם,Noun,feminine,,ktila,,,"cloak, robe, mantle, gown","Noun – ktila pattern, feminine",https://www.pealim.com/dict/8105-glima/,89
לְגַלֵּם,legalem,ג - ל - ם,Verb,,pi'el,,,,"to embody, to impersonate",Verb – pi'el,https://www.pealim.com/dict/341-legalem/,89
לְהִתְגַּלֵּם,lehitgalem,ג - ל - ם,Verb,,hitpa'el,,,,"to be manifested, to be embodied; to pupate (entomology)",Verb – hitpa'el,https://www.pealim.com/dict/6778-lehitgalem/,89
לְהִתְגַּלֵּעַ,lehitgalea,ג - ל - ע,Verb,,hitpa'el,,,,"to break out, to burst out",Verb – hitpa'el,https://www.pealim.com/dict/342-lehitgalea/,89
תַּגְלִיף,taglif,ג - ל - ף,Noun,masculine,,taktil,,,"engraving, carving","Noun – taktil pattern, masculine",https://www.pealim.com/dict/3604-taglif/,89
גְּלוּפָה,glufa,ג - ל - ף,Noun,feminine,,ktula,,,printing block (typography),"Noun – ktula pattern, feminine",https://www.pealim.com/dict/3658-glufa/,89
לְגַלֵּף,legalef,ג - ל - ף,Verb,,pi'el,,,,"to carve, to engrave",Verb – pi'el,https://www.pealim.com/dict/343-legalef/,89
גִּילּוּף,giluf,ג - ל - ף,Noun,masculine,,kittul,,,"carving, etching, engraving","Noun – kittul pattern, masculine",https://www.pealim.com/dict/9323-giluf/,89
לִגְלוֹשׁ,liglosh,ג - ל - שׁ,Verb,,pa'al,,,,"to glide, to slide, to surf, to ski",Verb – pa'al,https://www.pealim.com/dict/344-liglosh/,89
גְּלִישָׁה,glisha,ג - ל - שׁ,Noun,feminine,,ktila,,,"sliding, gliding; skiing; gliding (air); boiling over (milk, etc.); surfing, browsing (internet)","Noun – ktila pattern, feminine",https://www.pealim.com/dict/8744-glisha/,89
לְהִתְגַּלֵּשׁ,lehitgalesh,ג - ל - שׁ,Verb,,hitpa'el,,,,to slide (on a playground),Verb – hitpa'el,https://www.pealim.com/dict/4960-lehitgalesh/,90
מַגְלֵשָׁה,maglesha,ג - ל - ש,Noun,feminine,,maktela,,,"playground slide, chute","Noun – maktela pattern, feminine",https://www.pealim.com/dict/6330-maglesha/,90
גַּם,gam,-,Particle,,,,,,"also, too, in addition",Particle,https://www.pealim.com/dict/3304-gam/,90
לִגְמוֹא,ligmo,ג - מ - א,Verb,,pa'al,,,,"to sip, to gulp",Verb – pa'al,https://www.pealim.com/dict/345-ligmo/,90
גּוֹמֶא,gome,ג - מ - א,Noun,masculine,,kotel,,,"papyrus, reed","Noun – kotel pattern, masculine",https://www.pealim.com/dict/4117-gome/,90
גַּמְבָּה,gamba,-,Noun,feminine,,,,,"bell pepper, sweet pepper",Noun – feminine,https://www.pealim.com/dict/7911-gamba/,90
לְגַמְגֵּם,legamgem,ג - מ - ג - ם,Verb,,pi'el,,,,"to stutter, to hesitate",Verb – pi'el,https://www.pealim.com/dict/346-legamgem/,90
לְהִתְגַּמֵּד,lehitgamed,ג - מ - ד,Verb,,hitpa'el,,,,to be dwarfed,Verb – hitpa'el,https://www.pealim.com/dict/348-lehitgamed/,90
לְגַמֵּד,legamed,ג - מ - ד,Verb,,pi'el,,,,"to minimise, to shrink, to curtail",Verb – pi'el,https://www.pealim.com/dict/347-legamed/,90
לִגְמוֹז,ligmoz,ג - מ - ז,Verb,,pa'al,,,,"to lambaste, to criticize severely (theater)",Verb – pa'al,https://www.pealim.com/dict/7706-ligmoz/,90
לְהִיגָּמֵל,lehigamel,ג - מ - ל,Verb,,nif'al,,,,"to be weaned, to be rehabilitated",Verb – nif'al,https://www.pealim.com/dict/350-lehigamel/,90
גָּמָל,gamal,ג - מ - ל,Noun,masculine,,katal,,,camel,"Noun – katal pattern, masculine",https://www.pealim.com/dict/6064-gamal/,90
גַּמָּל,gamal,ג - מ - ל,Noun,masculine,,kattal,,,"caravaneer, camel driver","Noun – kattal pattern, masculine",https://www.pealim.com/dict/6065-gamal/,90
תַּגְמוּל,tagmul,ג - מ - ל,Noun,masculine,,taktul,,,"compensation, remuneration","Noun – taktul pattern, masculine",https://www.pealim.com/dict/3622-tagmul/,90
לִגְמוֹל,ligmol,ג - מ - ל,Verb,,pa'al,,,,"to recompense, to pay back",Verb – pa'al,https://www.pealim.com/dict/349-ligmol/,90
גִּמְלָה,gimla,ג - מ - ל,Noun,feminine,,kitla,,,"pension, benefit","Noun – kitla pattern, feminine",https://www.pealim.com/dict/6354-gimla/,91
גִּמְלַאי,gimlay,ג - מ - ל,Noun,masculine,,,,,pensioner,Noun – masculine,https://www.pealim.com/dict/6652-gimlay/,91
גְּמִילָה,gmila,ג - מ - ל,Noun,feminine,,ktila,,,"detoxification, detox, rehabilitation, rehab; weaning, ablactation","Noun – ktila pattern, feminine",https://www.pealim.com/dict/6943-gmila/,91
לִגְמוֹעַ,ligmoa,ג - מ - ע,Verb,,pa'al,,,,to swallow (liquid); to listen attentively,Verb – pa'al,https://www.pealim.com/dict/9254-ligmoa/,91
לִגְמוֹר,ligmor,ג - מ - ר,Verb,,pa'al,,,,"to finish, to complete",Verb – pa'al,https://www.pealim.com/dict/351-ligmor/,91
לְגַמְרֵי,legamre,ג - מ - ר,Adverb,,,,,,"completely, totally, entirely, utterly",Adverb,https://www.pealim.com/dict/7342-legamre/,91
גָּמוּר,gamur,ג - מ - ר,Adjective,,,katul,,,"finished, completed; total, complete, absolute; worn out, exhausted (slang); hopeless, lost, finished, dead (slang)",Adjective – katul pattern,https://www.pealim.com/dict/7436-gamur/,91
גְּמִירָה,gmira,ג - מ - ר,Noun,feminine,,ktila,,,"completion, finishing","Noun – ktila pattern, feminine",https://www.pealim.com/dict/8290-gmira/,91
לְהִיגָּמֵר,lehigamer,ג - מ - ר,Verb,,nif'al,,,,"to come to an end, to run out, to end",Verb – nif'al,https://www.pealim.com/dict/352-lehigamer/,91
לְגַמֵּר,legamer,ג - מ - ר,Verb,,pi'el,,,,"to finish, to put a finish on something",Verb – pi'el,https://www.pealim.com/dict/8921-legamer/,91
לְהַגְמִישׁ,lehagmish,ג - מ - שׁ,Verb,,hif'il,,,,"to soften (something), to make more flexible; to tone down",Verb – hif'il,https://www.pealim.com/dict/2468-lehagmish/,91
גָּמִישׁ,gamish,ג - מ - שׁ,Adjective,,,katil,,,"flexible, elastic; changeable, flexible",Adjective – katil pattern,https://www.pealim.com/dict/6435-gamish/,91
לִגְנוֹב,lignov,ג - נ - ב,Verb,,pa'al,,,,to steal,Verb – pa'al,https://www.pealim.com/dict/353-lignov/,91
לְהִיגָּנֵב,lehiganev,ג - נ - ב,Verb,,nif'al,,,,to be stolen,Verb – nif'al,https://www.pealim.com/dict/354-lehiganev/,91
גְּנֵיבָה,gneva,ג - נ - ב,Noun,feminine,,ktela,,,theft,"Noun – ktela pattern, feminine",https://www.pealim.com/dict/2840-gneva/,91
לְהַגְנִיב,lehagniv,ג - נ - ב,Verb,,hif'il,,,,"to smuggle, to insinuate",Verb – hif'il,https://www.pealim.com/dict/355-lehagniv/,92
לְהִתְגַּנֵּב,lehitganev,ג - נ - ב,Verb,,hitpa'el,,,,"to sneak into, to sneak into",Verb – hitpa'el,https://www.pealim.com/dict/356-lehitganev/,92
גָּנוּב,ganuv,ג - נ - ב,Adjective,,,katul,,,"stolen; great, superb (slang)",Adjective – katul pattern,https://www.pealim.com/dict/6444-ganuv/,92
לְגַנְדֵּר,legander,ג - נ - ד - ר,Verb,,pi'el,,,,"to embellish, to decorate",Verb – pi'el,https://www.pealim.com/dict/357-legander/,92
לְהִתְגַּנְדֵּר,lehitgander,ג - נ - ד - ר,Verb,,hitpa'el,,,,"to embellish, adorn oneself",Verb – hitpa'el,https://www.pealim.com/dict/358-lehitgander/,92
לְהִיגָּנֵז,lehiganez,ג - נ - ז,Verb,,nif'al,,,,"to be hidden, buried; to be postponed cancelled",Verb – nif'al,https://www.pealim.com/dict/361-lehiganez/,92
לִגְנוֹז,lignoz,ג - נ - ז,Verb,,pa'al,,,,"to shelve, to stash",Verb – pa'al,https://www.pealim.com/dict/360-lignoz/,92
לִגְנוֹחַ,lignoach,ג - נ - ח,Verb,,pa'al,,,,"to groan, to moan",Verb – pa'al,https://www.pealim.com/dict/362-lignoach/,92
גֶּנֶטִי,geneti,-,Adjective,,,,,,genetic,Adjective,https://www.pealim.com/dict/7040-geneti/,92
גִּינּוּי,ginuy,ג - נ - ה,Noun,masculine,,kittul,,,"denunciation, condemnation","Noun – kittul pattern, masculine",https://www.pealim.com/dict/8027-ginuy/,92
לְגַנּוֹת,leganot,ג - נ - ה,Verb,,pi'el,,,,"to condemn, to denounce",Verb – pi'el,https://www.pealim.com/dict/359-leganot/,92
לְגוֹנֵן,legonen,ג - נ - ן,Verb,,pi'el,,,,"to defend, to protect",Verb – pi'el,https://www.pealim.com/dict/363-legonen/,92
לְהִתְגּוֹנֵן,lehitgonen,ג - נ - ן,Verb,,hitpa'el,,,,to defend oneself,Verb – hitpa'el,https://www.pealim.com/dict/364-lehitgonen/,92
גִּינָּה,gina,ג - נ - ן,Noun,feminine,,kitla,,,"garden, small garden","Noun – kitla pattern, feminine",https://www.pealim.com/dict/7197-gina/,92
גַּן,gan,ג - נ - ן,Noun,masculine,,kal,,,garden,"Noun – kal pattern, masculine",https://www.pealim.com/dict/2656-gan/,92
מָגֵן,magen,ג - נ - ן,Noun,,,,,,"shield; guard, protector",Noun,https://www.pealim.com/dict/4328-magen/,93
גַּנָּן,ganan,ג - נ - ן,Noun,masculine,,kattal,,,gardener; kindergarten teacher,"Noun – kattal pattern, masculine",https://www.pealim.com/dict/2657-ganan/,93
לָגוֹן,lagon,ג - נ - ן,Verb,,pa'al,,,,"to defend, to protect (על) (biblical)",Verb – pa'al,https://www.pealim.com/dict/2698-lagon/,93
לְהָגֵן,lehagen,ג - נ - ן,Verb,,hif'il,,,,"to defend, to protect",Verb – hif'il,https://www.pealim.com/dict/365-lehagen/,93
לְגַנֵּן,leganen,ג - נ - ן,Verb,,pi'el,,,,"to do gardening, to garden (rare)",Verb – pi'el,https://www.pealim.com/dict/2655-leganen/,93
הֲגַנָּה,hagana,ג - נ - ן,Noun,feminine,,haktala,,,"defense, protection","Noun – haktala pattern, feminine",https://www.pealim.com/dict/7229-hagana/,93
גַּסּוּת,gasut,ג - ס - ס,Noun,feminine,,,,,"rudeness, discourtesy",Noun – feminine,https://www.pealim.com/dict/8625-gasut/,93
לִגְסוֹס,ligsos,ג - ס - ס,Verb,,pa'al,,,,to be dying,Verb – pa'al,https://www.pealim.com/dict/366-ligsos/,93
גַּס,gas,ג - ס - ס,Adjective,,,kal,,,"coarse, rude",Adjective – kal pattern,https://www.pealim.com/dict/4147-gas/,93
לְגַעְגֵּעַ,lega'agea,ג - ע - ג - ע,Verb,,pi'el,,,,"to cackle, to honk (of geese)",Verb – pi'el,https://www.pealim.com/dict/2631-legaagea/,93
לְהִתְגַּעְגֵּעַ,lehitga'agea,ג - ע - ג - ע,Verb,,hitpa'el,,,,"to miss, to long for, to yearn (ל-)",Verb – hitpa'el,https://www.pealim.com/dict/367-lehitgaagea/,93
גִּיעְגּוּעַ,gi'agua,ג - ע - ג - ע,Noun,masculine,,kittul,,,cackling (of geese),"Noun – kittul pattern, masculine",https://www.pealim.com/dict/5158-giagua/,93
גַּעְגּוּעַ,ga'agua,ג - ע - ג - ע,Noun,masculine,,kattul,,,"yearning, longing for something (ל־)","Noun – kattul pattern, masculine",https://www.pealim.com/dict/5157-gaagua/,93
לִגְעוֹת,lig'ot,ג - ע - ה,Verb,,pa'al,,,,"to moo, to roar",Verb – pa'al,https://www.pealim.com/dict/2699-ligot/,93
גּוֹעַל,go'al,ג - ע - ל,Noun,masculine,,kotel,,,"revulsion, disgust","Noun – kotel pattern, masculine",https://www.pealim.com/dict/7389-goal/,93
לְהַגְעִיל,lehag'il,ג - ע - ל,Verb,,hif'il,,,,"to be disgusting, nauseating",Verb – hif'il,https://www.pealim.com/dict/368-lehagil/,94
לִגְעוֹל,lig'ol,ג - ע - ל,Verb,,pa'al,,,,"to loathe, to despise, to be disgusted (bibl.)",Verb – pa'al,https://www.pealim.com/dict/5152-ligol/,94
לִגְעוֹר,lig'or,ג - ע - ר,Verb,,pa'al,,,,"to scold, to rebuke (ל-)",Verb – pa'al,https://www.pealim.com/dict/369-ligor/,94
גְּעָרָה,ge'ara,ג - ע - ר,Noun,feminine,,ktala,,,"reprimand, scolding","Noun – ktala pattern, feminine",https://www.pealim.com/dict/6765-geara/,94
גַּעְשִׁיּוּת,ga'ashiyut,ג - ע - שׁ,Noun,feminine,,,,,volcanism,Noun – feminine,https://www.pealim.com/dict/8583-gaashiyut/,94
לִגְעוֹשׁ,lig'osh,ג - ע - שׁ,Verb,,pa'al,,,,"to surge, to storm, to rage",Verb – pa'al,https://www.pealim.com/dict/370-ligosh/,94
לְהִתְגַּעֵשׁ,lehitga'esh,ג - ע - שׁ,Verb,,hitpa'el,,,,to become stormy (lit.),Verb – hitpa'el,https://www.pealim.com/dict/8306-lehitgaesh/,94
גַּעַשׁ,ga'ash,ג - ע - שׁ,Noun,masculine,,ketel,,,storm (lit.),"Noun – ketel pattern, masculine",https://www.pealim.com/dict/8581-gaash/,94
גַּעְשִׁי,ga'ashi,ג - ע - שׁ,Adjective,,,,,,volcanic,Adjective,https://www.pealim.com/dict/8582-gaashi/,94
גַּף,gaf,-,Noun,feminine,,,,,limb,Noun – feminine,https://www.pealim.com/dict/8409-gaf/,94
גֶּפֶן,gefen,ג - פ - ן,Noun,feminine,,ketel,,,"vine, grapevine","Noun – ketel pattern, feminine",https://www.pealim.com/dict/6092-gefen/,94
לְגַפֵּף,legapef,ג - פ - ף,Verb,,pi'el,,,,"to cuddle, to caress, to fondle",Verb – pi'el,https://www.pealim.com/dict/5640-legapef/,94
גּוֹפְרִית,gofrit,ג - פ - ר,Noun,feminine,,,,,"sulfur, sulphur",Noun – feminine,https://www.pealim.com/dict/7886-gofrit/,94
גּוֹפֶר,gofer,ג - פ - ר,Noun,masculine,,kotel,,,"gopher, gopher wood (biblical)","Noun – kotel pattern, masculine",https://www.pealim.com/dict/7885-gofer/,94
גַּפְרוּר,gafrur,ג - פ - ר,Noun,masculine,,,,,match (for lighting flame),Noun – masculine,https://www.pealim.com/dict/8789-gafrur/,94
לִגְרוֹב,ligrov,ג - ר - ב,Verb,,pa'al,,,,"to wear, to put on (socks or stockings)",Verb – pa'al,https://www.pealim.com/dict/2530-ligrov/,95
גֶּרֶב,gerev,ג - ר - ב,Noun,masculine,,ketel,,,"sock, stocking","Noun – ketel pattern, masculine",https://www.pealim.com/dict/3107-gerev/,95
לְגַרְגֵּר,legarger,ג - ר - ג - ר,Verb,,pi'el,,,,to gargle,Verb – pi'el,https://www.pealim.com/dict/371-legarger/,95
גַּרְגֵּר,garger,-,Noun,masculine,,,,,"grain, caryopsis; crumb, particle",Noun – masculine,https://www.pealim.com/dict/8304-garger/,95
גַּרְגֵּרִי,gargeri,-,Adjective,,,,,,"granular, consisting of grains",Adjective,https://www.pealim.com/dict/8305-gargeri/,95
גֵּירוּד,gerud,ג - ר - ד,Noun,masculine,,kittul,,,"itch, itching; scratching; peeling","Noun – kittul pattern, masculine",https://www.pealim.com/dict/8442-gerud/,95
לְגָרֵד,legared,ג - ר - ד,Verb,,pi'el,,,,"to scratch, to itch, to scrape",Verb – pi'el,https://www.pealim.com/dict/372-legared/,95
לְהִתְגָּרֵד,lehitgared,ג - ר - ד,Verb,,hitpa'el,,,,to scratch oneself,Verb – hitpa'el,https://www.pealim.com/dict/6031-lehitgared/,95
גֵּרוּי,geruy,-,Noun,,,,,,"stimulus; stimulation, irritation",Noun,https://www.pealim.com/dict/7001-geruy/,95
גָּרוֹן,garon,-,Noun,,,,,,"larynx, throat",Noun,https://www.pealim.com/dict/6460-garon/,95
גְּרוֹנִי,groni,-,Adjective,,,,,,"guttural, laryngeal, throaty",Adjective,https://www.pealim.com/dict/8097-groni/,95
גְּרוּשׁ,grush,-,Noun,,,,,,"grush (historic Israeli currency); cent, penny, small amount (slang)",Noun,https://www.pealim.com/dict/6438-grush/,95
גֵּירוּז,geruz,ג - ר - ז,Noun,masculine,,kittul,,,"lubrication, greasing, oiling","Noun – kittul pattern, masculine",https://www.pealim.com/dict/7948-geruz/,95
לְגָרֵז,legarez,ג - ר - ז,Verb,,pi'el,,,,"to lubricate, to grease, to oil",Verb – pi'el,https://www.pealim.com/dict/7947-legarez/,95
גַּרְזֶן,garzen,-,Noun,masculine,,,,,axe (a tool for chopping wood),Noun – masculine,https://www.pealim.com/dict/4149-garzen/,95
לְגָרוֹת,legarot,ג - ר - ה,Verb,,pi'el,,,,"to excite, to provoke, to stimulate",Verb – pi'el,https://www.pealim.com/dict/373-legarot/,96
לְהִתְגָּרוֹת,lehitgarot,ג - ר - ה,Verb,,hitpa'el,,,,"to tease, to taunt (ב-)",Verb – hitpa'el,https://www.pealim.com/dict/374-lehitgarot/,96
גֵּירוּי,geruy,ג - ר - ה,Noun,masculine,,kittul,,,stimulus; irritation,"Noun – kittul pattern, masculine",https://www.pealim.com/dict/8109-geruy/,96
אֶתְגָר,etgar,ג - ר - ה,Noun,masculine,,,,,challenge,Noun – masculine,https://www.pealim.com/dict/4814-etgar/,96
גְּרִיז,griz,-,Noun,masculine,,,,,grease,Noun – masculine,https://www.pealim.com/dict/9073-griz/,96
הַגְרָלָה,hagrala,ג - ר - ל,Noun,feminine,,haktala,,,"lottery, casting of lots","Noun – haktala pattern, feminine",https://www.pealim.com/dict/3672-hagrala/,96
גּוֹרָל,goral,ג - ר - ל,Noun,masculine,,kotal,,,"fate, destiny; casting lots, toss of a coin","Noun – kotal pattern, masculine",https://www.pealim.com/dict/4107-goral/,96
לְהַגְרִיל,lehagril,ג - ר - ל,Verb,,hif'il,,,,"to cast lots, to conduct a lottery upon (את)",Verb – hif'il,https://www.pealim.com/dict/375-lehagril/,96
לְהִיגָּרֵם,lehigarem,ג - ר - ם,Verb,,nif'al,,,,to be caused,Verb – nif'al,https://www.pealim.com/dict/377-lehigarem/,96
לִגְרוֹם,ligrom,ג - ר - ם,Verb,,pa'al,,,,"to cause, to produce, to result in",Verb – pa'al,https://www.pealim.com/dict/376-ligrom/,96
לְהִיגָּרֵס,lehigares,ג - ר - ס,Verb,,nif'al,,,,"to be shredded, ground",Verb – nif'al,https://www.pealim.com/dict/379-lehigares/,96
לִגְרוֹס,ligros,ג - ר - ס,Verb,,pa'al,,,,"to hold the view (שׁ-); shred, grind (את)",Verb – pa'al,https://www.pealim.com/dict/378-ligros/,96
גִּירְסָה,girsa,ג - ר - ס,Noun,feminine,,,,,"version, variant",Noun – feminine,https://www.pealim.com/dict/4685-girsa/,96
לִגְרוֹעַ,ligroa,ג - ר - ע,Verb,,pa'al,,,,"to reduce, to diminish, to shear",Verb – pa'al,https://www.pealim.com/dict/380-ligroa/,96
גָּרוּעַ,garua,ג - ר - ע,Adjective,,,katul,,,"bad, poor quality",Adjective – katul pattern,https://www.pealim.com/dict/5559-garua/,96
לְהִיגָּרֵעַ,lehigarea,ג - ר - ע,Verb,,nif'al,,,,"to be subtracted, removed",Verb – nif'al,https://www.pealim.com/dict/381-lehigarea/,97
גֵּירָעוֹן,gera'on,ג - ר - ע,Noun,masculine,,kittalon,,,"deficit, loss","Noun – kittalon pattern, masculine",https://www.pealim.com/dict/5961-geraon/,97
גַּרְעִין,gar'in,-,Noun,masculine,,,,,"kernel, nucleus; seed",Noun – masculine,https://www.pealim.com/dict/6960-garin/,97
גַּרְעִינִי,gar'ini,-,Adjective,,,,,,"nuclear; central, essential",Adjective,https://www.pealim.com/dict/6961-garini/,97
לִגְרוֹף,ligrof,ג - ר - ף,Verb,,pa'al,,,,"to rake, to scoop",Verb – pa'al,https://www.pealim.com/dict/382-ligrof/,97
לְהִיגָּרֵף,lehigaref,ג - ר - ף,Verb,,nif'al,,,,"to be raked, scooped, swept",Verb – nif'al,https://www.pealim.com/dict/383-lehigaref/,97
אֶגְרוֹף,egrof,ג - ר - ף,Noun,masculine,,,,,fist,Noun – masculine,https://www.pealim.com/dict/4536-egrof/,97
גּוֹרֵף,goref,ג - ר - ף,Adjective,,,kotel,,,"sweeping, overwhelming, comprehensive",Adjective – kotel pattern,https://www.pealim.com/dict/7366-goref/,97
לְגָרֵף,legaref,ג - ר - ף,Verb,,pi'el,,,,"to rake, to sweep clear",Verb – pi'el,https://www.pealim.com/dict/7619-legaref/,97
מַגְרֵפָה,magrefa,ג - ר - ף,Noun,feminine,,maktela,,,rake,"Noun – maktela pattern, feminine",https://www.pealim.com/dict/6620-magrefa/,97
לְהִיגָּרֵר,lehigarer,ג - ר - ר,Verb,,nif'al,,,,"to be dragged, towed",Verb – nif'al,https://www.pealim.com/dict/385-lehigarer/,97
מְגֵירָה,megera,ג - ר - ר,Noun,feminine,,mekila,,,drawer,"Noun – mekila pattern, feminine",https://www.pealim.com/dict/7480-megera/,97
לְגָרֵר,legarer,ג - ר - ר,Verb,,pi'el,,,,"to grate (vegetables, cheese) (rare)",Verb – pi'el,https://www.pealim.com/dict/2588-legarer/,97
גְּרָר,grar,ג - ר - ר,Noun,masculine,,ktal,,,"tow truck; drag, drag resistance (physics)","Noun – ktal pattern, masculine",https://www.pealim.com/dict/3493-grar/,97
