dialect,english,arabic gt,arabic predicted,arabic gt transliteration,arabic predicted transliteration
Palestinian,"I want to liberate every inch of our occupied land, no matter the sacrifices.",بدي أحرر كل شبر من أرضنا المحتلة، مهما كانت التضحيات.,بدي أحرر كل شبر من أرضنا المحتلة، مهما كانت التضحيات.,"Biddi a7arrer kul shibr min ardna el-mu7talle, mahma kanat et-taD7iyat.","Biddi a7arrer kul shibr min ardna el-mu7talle, mahma kanat et-taD7iyat."
Palestinian,The diligent student studies every day to succeed in exams.,الطالبة الشاطرة بتدرس كل يوم لحتى تنجح في الامتحانات.,الطالب المجتهد بدرس كل يوم عشان ينجح بالامتحانات.,it-talbeh ish-shatra bitidros kul yom la-hatta tinjah fi l-imtihanat.,it-taleb il-mujtahed bidros kul yom ashan yinjah bil-imtihanat.
Palestinian,"In our school, every week we choose a new proverb and discuss it with the students to teach them about culture and popular wisdom.",في مدرستنا، كل أسبوع بنختار متل جديد وبنناقشه مع الطلاب لنعلمهم عن الثقافة والحكمة الشعبية.,في مدرستنا، كل أسبوع بنختار مَثَل جديد وبنناقشه مع الطلاب عشان نعلّمهم عن الثقافة والحكمة الشعبية.,"Fi madrasetna, kul usbuu' binkhtar matal jdiid w bninagesho ma' it-tullab lin'allimhom 'an ith-thaqafe wel-hikme ish-sha'biye.","Fi madrasetna, kul usbuu' binkhtar matal jdiid w bninagesho ma' it-tullab 'ashan n'allimhom 'an ith-thaqafe wel-hikme ish-sha'biye."
Palestinian,We read the story of Jesus' ascension in the church during Ascension Day and reflect on its meaning.,بنقرا قصة صعود يسوع في الكنيسة خلال عيد الصعود، وبنتأمل في معناها.,بنقرا قصة صعود يسوع في الكنيسة خلال عيد الصعود، وبنتأمل في معناها.,"binqra qisset su'ud Yasu' fi il-kneese khilal Eid is-su'ud, w-bint'ammal fi ma'naha.","binqra qisset su'ud Yasu' fi il-kneese khilal Eid is-su'ud, w-bint'ammal fi ma'naha."
Palestinian,"They say that the weaver can create complex designs, but I think that modern machines do a better and faster job.",بقولوا إنه الحايك بقدر يعمل تصاميم معقدة، بس أنا بشوف إنه الآلات الحديثة بتعمل شغل أحسن وأسرع.,بقولوا إنه الحايك بقدر يعمل تصاميم معقدة، بس أنا بشوف إنه الماكينات الحديثة بتعمل الشغل أحسن وأسرع.,"Bi'oolu inno el-hayek bi'dar yi'mal tasamim m'aqqadeh, bas ana bashoof inno el-alat el-hadiseh bti'mal shoghol ahsan w asra'.","Bi'oolu inno el-hayek bi'dar yi'mal tasamim m'aqqadeh, bas ana bashoof inno el-makinat el-hadiseh bti'mal esh-shoghol ahsan w asra'."
Palestinian,"When you see the achievements of your country, you can feel real pride and strong belonging.",لما بتشوف إنجازات بلدك، بتقدر تشعر بافتخار حقيقي وإنتماء قوي.,لما بتشوف إنجازات بلدك، بتحس بفخر حقيقي وانتماء قوي.,"Lamma btshouf injazat baladak, bti'dar tish'ar biftikhar ha'ee'i w intima' qawi.","Lamma btshouf injazat baladak, btiHiss bifakher ha'ee'i w intima' qawi."
Palestinian,"According to people's belief, this winter will be stronger than last year.",حسب اعتقاد الناس، الشتا هالسنة رح يكون أقوى من السنة الماضية.,حسب اعتقاد الناس، الشتا هالسنة رح يكون أقوى من السنة الماضية.,"hasab i'tiqad en-nas, esh-shita hal-sane raH ykun aqwa min es-sane el-madiye.","hasab i'tiqad en-nas, esh-shita hal-sane raH ykun aqwa min es-sane el-madiye."
Palestinian,"Children love to hide in closets, but we need to explain to them that it is dangerous.",الأطفال بحبوا يستخبوا في الخزاين، بس لازم نوعيهم إنه هادا خطير.,الأطفال بحبّوا يستخبّوا بالخزاين، بس لازم نشرحلهم إنه هادا خطر.,"el-atfal bhibbu yistakhabbu fi el-khazayen, bas lazim nwa'ihom inno hada khatir.","el-atfal bhibbu yistakhabbu bil-khazayen, bas lazim nishrahlhom inno hada khatar."
Palestinian,You can see that children find it easy to handle new technology.,بتقدر تشوف إنه الأطفال هوينين في التعامل مع التكنولوجيا الجديدة.,بتقدر تشوف إنو الأطفال بسهل عليهم يتعاملوا مع التكنولوجيا الجديدة.,btqdar tshoof inno el-atfal hwaynen fi et-ta'amul ma' et-teknolojya el-jdeede.,btqdar tshoof inno el-atfal bisehl 3aleihom yit3amalo ma3 et-teknolojya el-jdeede.
Palestinian,I saw a big white sheep in my grandfather's barn yesterday.,شفت نعجة بيضا كبيرة في حظيرة جدي إمبارح.,شفت نعجة بيضا كبيرة بحظيرة جدي إمبارح.,shuft na'je beda kbeere fi hazeeret jeddi imbareh.,shuft na'je beda kbeere b-hazeeret jeddi imbareh.
Palestinian,"They say that the students have to wear uniforms, but I don’t like it.",بقولوا إنه الطلاب لازم يلبسوا اللباس الموحد بس أنا ما بحبه.,بقولوا إنه الطلاب لازم يلبسوا زي موحد، بس أنا ما بحبه.,bi'ulu innu it-tullab lazim yilbasu il-libas il-mowahhad bas ana ma bahebbo.,"bi'ulu innu it-tullab lazim yilbasu zay mowahhad, bas ana ma bahebbo."
Palestinian,"When you order something from the internet, you need to pay attention to the size of the package so you don't pay extra for shipping.",لما بتطلب إشي من الإنترنت، لازم تنتبه على حجم الطرد عشان ما تدفع زيادة عالشحن.,لما بتطلب إشي من الإنترنت، لازم تنتبه لحجم الطرد عشان ما تدفع زيادة على الشحن.,"lamma bitlob ishi min el-internet, laazim tintibeh 3ala hajm el-tard 3ashan ma tidfa3 ziyaade 3al-shahn.","lamma bitlob ishi min el-internet, laazim tintibeh la-hajm el-tard 3ashan ma tidfa3 ziyaade 3ala el-shahn."
Palestinian,"I have a big mole on my back, and I love it a lot because it's unique.",عندي شامة كبيرة على ضهري، وبحبها كتير لأنها مميزة.,عندي شامة كبيرة على ضهري، وبحبها كتير لأنها مميزة.,"3indi shaameh kbiireh 3ala dahri, w ba7ibha ktiir la2anha mumayyazeh.","3indi shaameh kbiireh 3ala dahri, w ba7ibha ktiir la2anha mumayyazeh."
Palestinian,Did you see that man? He was carrying a big box and walking down the street as if there was nothing.,شفت هداك الزلمة؟ كان حامل سحارة كبيرة وماشي في الشارع كأنه ما في إشي.,شفت هداك الزلمة؟ كان حامل صندوق كبير وماشي بالشارع كأنه ما في إشي.,Shuft hadak iz-zalameh? Kan hamil sahhara kbireh w mashi fi ish-shari' ka'anno ma fi ishi.,Shuft hadak iz-zalameh? Kan hamil sanduq kbir w mashi bish-shari' ka'anno ma fi ishi.
Palestinian,"Man, don't scratch the wound like that, it will get worse and you'll end up with a scar.",يا زلمة، ما تحكش الجرح هيك، راح يصير أسوأ وبتصير عندك ندبة.,يا زلمة، ما تحكّش الجرح هيك، رح يصير أسوأ وبتصير عندك ندبة.,"ya zalame, ma ti7ikish il-jar7 heek, ra7 yseer aswa w-bitsir 3indak nadbe.","ya zalame, ma ti7ikkish il-jar7 heek, ra7 yseer aswa w-bitsir 3indak nadbe."
Palestinian,I want to buy new sheep shears because the old ones don't cut well anymore.,بدي أشتري مجز جديد لإنه القديم صار ما بيقطع منيح.,بدي أشتري مجز غنم جديد عشان القديم بطل يقطع منيح.,biddi ashtari mijazz jdid la'innu il-adeem sar ma bi'atta' mnih.,biddi ashtari mijazz ghanam jdid 'ashan il-adeem battal yi'atta' mnih.
Palestinian,Did you see how the boy dropped to the ground when he heard the sound of the plane?,شفت الولد كيف زخ على الأرض لـما سمع صوت الطيارة؟,شفت كيف الولد وقع عالأرض لما سمع صوت الطيارة؟,shuft el-walad keef zakh ʿala el-arḍ lamma semeʿ ṣot el-ṭayyara?,shuft keef el-walad waqaʿ ʿal-arḍ lamma semeʿ ṣot el-ṭayyara?
Palestinian,"Every day my mom wakes me up at six, even though I want to sleep a little longer.",كل يوم بتصحيني أمي الساعة ستة، مع إنه بكون بدي أنام شوية كمان.,كل يوم أمي بتصحيني عالساعة ستة، مع إني بدي أنام شوي كمان.,"kul yom bitsaheeni immi issa'a sitte, ma' innu bakoon biddi anam shwayye kaman.","kul yom immi bitsaheeni 'as-sa'a sitte, ma' inni biddi anam shway kaman."
Palestinian,"Every time I hear about an honor killing, I feel very sad and wish there were another way to solve problems.",كل ما بسمع عن حادثة قتل على شرف العيلة، بحزن كتير وبتمنى لو في طريقة تانية لحل المشاكل.,كل ما بسمع عن جريمة قتل على شرف العيلة، بحزن كتير وبتمنى يكون في طريقة تانية لحل المشاكل.,"kul ma basma3 3an hadset atel 3ala sharaf il-3ile, bahzan kteer w batmanna law fi taree'a tanye la-hall il-mashakel.","kul ma basma3 3an jareemet atel 3ala sharaf il-3ile, bahzan kteer w batmanna ykoon fi taree'a tanye la-hall il-mashakel."
Palestinian,I need to study a lot in order to succeed in the exam.,بدي أدرس كتير منشان أنجح في الامتحان,بدي أدرس كتير عشان أنجح بالامتحان,biddi adros ktir minshan anjaH fi l-imtiHan,biddi adros ktir 3ashan anjaH bil-imtiHan
Palestinian,"Oh God, what happened? I heard a loud explosion outside!",يا ساتر، شو صار؟ سمعت صوت انفجار قوي برا!,يا ساتر، شو صار؟ سمعت صوت انفجار قوي برا!,"ya sater, shu sar? sme'et sot infijar qawi barra!","ya sater, shu sar? sme'et sot infijar qawi barra!"
Palestinian,"Do what you want, but remember that you have to bear the consequences of your decisions.",إعمل على خاطرك، بس تذكر إنه لازم تتحمل نتايج قراراتك.,اعمل اللي بدك إياه، بس تذكر إنك لازم تتحمل عواقب قراراتك.,"I‘mal 3ala khatrak, bas tdhakkar innu laazim titHammal nataayij qararaatak.","I‘mal illi biddak iyyaah, bas tdhakkar innak laazim titHammal 3awaqib qararaatak."
Palestinian,"They say the similarity between a husband and wife increases over time, and this is what I see with my grandparents.",بقولوا إنه التشابه  بين الزوج والزوجة بزيد مع الوقت، وهادا إلي بشوفه عند ستي وسيدي.,بقولوا إنه التشابه بين الزوج والزوجة بزيد مع الوقت، وهادا اللي بشوفه عند ستي وسيدي.,"bi'ulu innu it-tashaboh ben iz-zawj w iz-zawje bizid ma' il-waqt, w hada illi bshufu 'ind sitti w sidi.","bi'ulu innu it-tashaboh ben iz-zawj w iz-zawje bizid ma' il-waqt, w hada illi bshufu 'ind sitti w sidi."
Palestinian,"They set the dogs on me when I entered the house, it was very scary but then it turned out they were friendly.",وزوا الكلاب علي لما دخلت الدار، كانت مخيفة كتير بس بعدين طلعوا ودودين.,وزّوا الكلاب عليّ لما دخلت الدار، كان الإشي بخوّف كتير بس بعدين طلعوا ودودين.,"Wazzo el-kilab 3alay lamma dakhalt ed-dar, kanat mkhife ktir bas ba3den til3u wadudin.","Wazzo el-kilab 3alayy lamma dakhalt ed-dar, kan el-ishi bikhawwif ktir bas ba3den til3u wadudin."
Palestinian,"No, nothing.. Come on, let's go to school, we're very late.","لا, ما في شي.. يلا نروح على المدرسة, تأخّرنا كتير",لا، ما في شي.. يلا نروح على المدرسة، تأخرنا كتير.,"la, ma fi shi.. yalla nrooh 3ala el-madrase, ta'akhkharna kteer","la, ma fi shi.. yalla nrooh 3ala el-madrase, ta'akhkharna kteer"
Palestinian,"The kids love to play tag in the yard, they run and laugh all the time.",الأولاد بيحبوا يلعبوا زقيطة في الساحة، بيركضوا وبيضحكوا طول الوقت.,الأولاد بيحبّوا يلعبوا زقيطة بالحوش، بيركضوا وبيضحكوا طول الوقت.,"il-wlad bihebbu yil'abu zgeeta fi is-saha, birkadu w-bidhaku tool il-waqt.","il-wlad bihebbu yil'abu zgeeta bil-hosh, birkadu w-bidhaku tool il-waqt."
Palestinian,"If you keep being this grumpy, you'll ruin your life and the lives of those around you.",إذا ظليت نكد هيك، رح تنكد حياتك وحياة اللي حواليك.,إذا ضليت نكدي هيك، رح تخرب حياتك وحياة اللي حواليك.,"Iza dalleit nakad heik, rah tnakked hayatak w hayat illi hawaleik.","Iza dalleit nakadi heik, rah tkharreb hayatak w hayat illi hawaleik."
Palestinian,They say that the new law that was going to cancel the subsidy on gasoline was canceled after public protests.,بقولوا إنه القانون الجديد اللي كان رح يلغي الدعم على البنزين التغى بعد احتجاجات الشعب.,بقولوا إنه القانون الجديد اللي كان رح يلغي الدعم على البنزين انلغى بعد احتجاجات شعبية.,Bi'ulu innu il-qanun il-jdid illi kan raH yilghi id-da‘m ‘ala il-benzin iltagha ba‘d iHtijajat ish-sha‘b.,Bi'ulu innu il-qanun il-jdid illi kan raH yilghi id-da‘m ‘ala il-benzin inlagha ba‘d iHtijajat sha‘biye.
Palestinian,"I think the company is creating a cold atmosphere among the employees, there is no cooperation or communication between them.",أظن إنه الشركة عاملة جو بارد بين الموظفين، ما في تعاون ولا تواصل بيناتهم.,أظن إنه الشركة عاملة جو بارد بين الموظفين، ما في تعاون ولا تواصل بينهم.,"Azon inno ish-shirke 3amleh jaw bared bein il-mwazzafin, ma fi ta3awon wala tawasol beinathom.","Azon inno ish-shirke 3amleh jaw bared bein il-mwazzafin, ma fi ta3awon wala tawasol beinom."
Palestinian,"Rebuilding trust after betrayal is not easy, it requires patience, time, and effort from both sides.",إعادة بناء الثقة بعد الخيانة مش سهلة، بدها صبر ووقت وجهود من الطرفين.,إعادة بناء الثقة بعد الخيانة مش سهلة، بدها صبر ووقت وجهد من الطرفين.,"I'adet bina' el-thiqa ba'd el-khiyane mish sahle, biddha sabr w wa'et w jhud min el-tarafein.","I'adet bina' el-thiqa ba'd el-khiyane mish sahle, biddha sabr w wa'et w juhd min el-tarafein."
Palestinian,"Exams are tiring for the mind and body, but we must endure them patiently.",الإمتحانات متعبة للعقل والجسم، بس لازم نصبر عليها.,الإمتحانات متعبة للعقل والجسم، بس لازم نصبر عليها بصبر.,"il-imti7anat mit3beh lil-3a2el wal-jisem, bas lazim nisbor 3aleha.","il-imti7anat mit3beh lil-3a2el wal-jisem, bas lazim nisbor 3aleha b-sabr."
Palestinian,"I think grape picking requires experience and skill. It's not just picking and done, you need to know when the grapes are ripe and ready.",أظن إنه قطف العنب بحتاج خبرة ومهارة. مش بس بتقطف وخلص، لازم تعرف إمتى العنب ناضج وجاهز.,بفكر إن قطف العنب بده خبرة ومهارة. مش بس بتقطف وخلص، لازم تعرف إمتى العنب استوى وصار جاهز.,"Azon inno qataf el enab bihtaj khibra w mhara. Mish bas bitqotof w khalas, lazim taaref imta el enab nadej w jahez.","Bfakker in qataf el enab biddo khibra w mhara. Mish bas bitqotof w khalas, lazim taaref imta el enab istawa w sar jahez."
Palestinian,"I wish you would explain to me how this new machine works, I don't know what to do with it.",يا ريت تفهمني كيف بتشتغل هالآلة الجديدة، مش عارف شو أعمل فيها.,يا ريت تفهمني كيف بتشتغل هالآلة الجديدة، مش عارف شو أعمل فيها.,"ya reet tfahhemni keef bteshtaghal hal-aale el-jdeede, mesh aaref shu aamel feeha.","ya reet tfahhemni keef bteshtaghal hal-aale el-jdeede, mesh aaref shu aamel feeha."
Palestinian,My voice is hoarse from yelling too much in the game yesterday.,صوتي مبحوح من كتر الصياح في المباراة إمبارح,صوتي مبحوح من كتر الصراخ بالمباراة إمبارح.,sawti mabhooh min koter el-siyah fi el-mubara imbareh,sawti mabhooh min koter el-srakh bil-mubara imbareh
