dialect,english,arabic gt,arabic predicted,arabic gt transliteration,arabic predicted transliteration
Syrian,They are conducting a comprehensive street cleaning campaign after the festival.,عم يديروا حملة تنظيف شاملة للشوارع بعد المهرجان,عم يعملوا حملة تنظيف شاملة للشوارع بعد المهرجان,3am ydiiru hamlet tandif shamle lal-shaware3 ba3d el-mahrajan,3am ya3mlu hamlet tandif shamle lal-shaware3 ba3d el-mahrajan
Palestinian,We need to be more enlightened and read more to understand what is happening in the world.,لازم نتنور شوي ونقرا أكتر عشان نفهم شو عم بصير بالعالم.,لازم نتنور شوي ونقرا أكتر عشان نفهم شو عم بصير بالعالم.,laazem netnawwar shway wneqra aktar ashan nefham shu am biseer bel-aalam.,laazem netnawwar shway wneqra aktar ashan nefham shu am biseer bel-aalam.
Egyptian,"When we heard the sound of the alarm, we hurriedly left the building.",لما سمعنا صوت الإنذار، خرجنا من البناية حوف زوف.,لما سمعنا صوت الإنذار، خرجنا من المبنى بسرعة.,"lamma seme'na sot el-enzar, kharagena men el-benaya hof zof.","lamma seme'na sot el-enzar, kharagena men el-mabna besor'a."
Lebanese,"Safsafi, can you help me a little with this task?",صفصافي، فينك تساعدني شوي بهالشغلة؟,صفصافي، فينك تساعدني شوي بهالشغلة؟,"Safsafi, fiinak tsa3edne shway bhal shaghle?","Safsafi, fiinak tsa3edne shway bhal shaghle?"
Syrian,"I can play chess professionally, and I always try to checkmate the king.",فيني ألعب شطرنج بشكل محترف، ودايما بحاول أعمل كش للملك.,فيني ألعب شطرنج باحتراف، ودايماً بحاول أعمل كش ملك.,"fiini al3ab shatranj bshakel muhtarif, w dayman bhawel a3mel kish lil-malik.","fiini al3ab shatranj bi-ihtiraf, w dayman bhawel a3mel kish malik."
Egyptian,"I missed an important episode of this series, can someone tell me what happened?",فاتتني حلقة مهمة من المسلسل ده، حد يقولي إيه اللي حصل؟,فاتتني حلقة مهمة من المسلسل ده، حد يقولي إيه اللي حصل؟,"fatetni hal'a mohemma men el mosalsal dah, had ye'olli eh elli hasal?","fatetni hal'a mohemma men el mosalsal dah, had ye'olli eh elli hasal?"
Egyptian,I love eating small onions because their taste is sweet and delicate.,بحب أكل البصل الرفيع عشان طعمه حلو وخفيف.,بحب آكل البصل الصغير عشان طعمه حلو وخفيف.,bahebb akl el basal el refaye3 3ashan ta3mo helw we khafif.,bahebb aakel el basal el soghayyar 3ashan ta3mo helw we khafif.
Palestinian,I can't describe to you the feeling I get when I see the sunset over the sea.,ما بقدر أوصفلك الإحساس إلي بيجيني لما بشوف غروب الشمس عالبحر.,ما بقدر أوصفلك الإحساس اللي بيجيني لما بشوف غروب الشمس عالبحر.,ma ba'dar awsiflak el-i7sas elli bijini lamma bashuf ghurub ish-shams 3al-ba7ar.,ma ba'dar awsiflak el-i7sas elli bijini lamma bashuf ghurub ish-shams 3al-ba7ar.
Syrian,"Sir, if you allow me, I would like to present to you this proposal to improve the company.",سيدي، إذا بتسمح لي، بدي أقدم لك هالاقتراح لتحسين الشركة.,سيدي، إذا بتسمحلي، بدي قدملك هالاقتراح لتحسين الشركة.,"Sidi, iza btesmah li, baddi qaddem lak hal-eqtirah la-tahsin esh-sharikeh.","Sidi, iza btesmahli, baddi qaddemlak hal-eqtirah la-tahsin esh-sharikeh."
Palestinian,"After we finished the party, there was a lot of food left, so we decided to distribute it to the neighbors.",بعد ما خلصنا الحفلة، فضل كتير أكل، فقلنا نوزعه على الجيران.,بعد ما خلصنا الحفلة، ضل كتير أكل، فقررنا نوزعه على الجيران.,"baad ma khallasna el-hafle, fadel kteer akel, fa ulna nwazzo'o ala el-jeeran.","baad ma khallasna el-hafle, dal kteer akel, fa arrarna nwazzo'o ala el-jeeran."
Egyptian,Feseekh is an integral part of the Sham El-Nessim celebrations in Egypt every year.,الفسيخ بيبقى جزء أساسي من احتفالات شم النسيم في مصر كل سنة.,الفسيخ بيبقى جزء أساسي من احتفالات شم النسيم في مصر كل سنة.,el-feseekh beyeb'a goz' asasi men e7tefalat sham el-nesim fi masr kol sana.,el-feseekh beyeb'a goz' asasi men e7tefalat sham el-nesim fi masr kol sana.
Palestinian,"Let's say, very shy.",يعني خلينا نقول خجولة كثير.,يعني خلينا نقول خجولة كتير.,ya3ni khallina n2ul khajule ktiir.,ya3ni khallina n2ul khajule ktiir.
Syrian,What is the name of the person you want to talk to?,اش اسم الشخص يلي بدك تحكي معو؟,شو اسم الشخص اللي بدك تحكي معو؟,esh esem el-shakhs yalli baddak tehki ma'o?,shu esem el-shakhs elli baddak tehki ma'o?
Lebanese,"The military academy is not just for boys, there are also girls who study there and become officers.",الحربية مش بس للشباب، في كمان بنات بيدرسو فيها وبيصيرو ضابطات.,الحربية مش بس للشباب، في كمان بنات بيدرسوا فيها وبيصيروا ضابطات.,"el harbiyye mesh bas lal shabeb, fi kamen banet byederso fiya w byesiro dabetat.","el harbiyye mesh bas lal shabeb, fi kamen banet byederso fiya w byesiro dabetat."
Palestinian,"I want to go to the sea and walk on the beach, I feel that it helps me relax from work pressure.",بدي أروح على البحر وأتمشى على الشاطئ، بحس إنه هادا بخليني أرتاح من ضغط الشغل.,بدي أروح عالبحر وأتمشى عالشط، بحس إنه هالشي بخليني أرتاح من ضغط الشغل.,"biddi arooh 3ala el-bahar w-atmasha 3ala esh-shati, bahess innu hada bikhallini artah min daght esh-shughl.","biddi arooh 3al-bahar w-atmasha 3ash-shatt, bahess innu hal-ishi bikhallini artah min daght esh-shughl."
Egyptian,This man creates fake accounts on the internet to deceive people.,الراجل ده بيعمل حسابات وهمية على الإنترنت عشان يخدع الناس,الراجل ده بيعمل حسابات وهمية على الإنترنت عشان يخدع الناس,el-ragel da bey3mel hesabaat wahmeya 3ala el-internet 3ashan yekhda3 el-naas,el-ragel da bey3mel hesabaat wahmeya 3ala el-internet 3ashan yekhda3 el-naas
Palestinian,"When I was young, my father used to tell me: 'Be careful, the horse kicks.'",لما كنت صغير، أبوي كان يقولي: 'دير بالك الحصان برفص'.,لما كنت صغير، أبوي كان يقولي: 'دير بالك، الحصان برفص'.,"lamma kunt zghir, abuy kan y'ulli: 'dir balak il-hisan birfus'.","lamma kunt zghir, abuy kan y'ulli: 'dir balak, il-hisan birfus'."
Syrian,I'm coming straight home from the office.,‏جاية من المكتب دغري ع البيت ‎,جاية من المكتب دغري عالبيت,jaye men el-maktab doghri 3al beit,jaye men el-maktab doghri 3al beit
Egyptian,"Today in church, I heard a very beautiful hymn about our prophet Moses.",إلنهارده في الكنيسه، سمعت هوس جميل جدا عن سيدنا موسى.,النهارده في الكنيسة، سمعت هوس جميل جدًا عن سيدنا موسى.,"El naharda fi el kanisa, seme't hos gameel giddan 'an sayedna Musa.","El naharda fi el kanisa, seme't hos gameel giddan 'an sayedna Musa."
Palestinian,"I wish people wouldn't claim things that aren't true, that way we can build a better society.",يا ريت الناس ما تدعي إشي مش صحيح، هيك بنقدر نبني مجتمع أحسن.,يا ريت الناس ما تدّعي إشي مش صحيح، هيك بنقدر نبني مجتمع أحسن.,"ya reet elnas ma tiddi'i ishi mish saheeh, heek bina'dar nibni mujtama' ahsan.","ya reet elnas ma tiddi'i ishi mish saheeh, heek bina'dar nibni mujtama' ahsan."
Egyptian,"My vision has become very weak, and I need to go to the doctor so he can prescribe me glasses.",نظري ضعف جدا وعايز أروح للدكتور عشان يكتبلي نضارة,نظري ضعف جدًا وعايز أروح للدكتور عشان يكتبلي نضارة,nazari di'if giddan w 3ayez arooh lel doktor 3ashan yektebli nadara,nazari di'if giddan w 3ayez arooh lel doktor 3ashan yektebli nadara
Palestinian,"I heard there is a new program that makes the computer translate quickly, I want to try it.",سمعت إنه في برنامج جديد بخلي الحاسوب يترجم بسرعة، بدي أجربه.,سمعت إنه في برنامج جديد بخلي الكمبيوتر يترجم بسرعة، بدي أجربه.,"sme3et inno fi barnamej jdid bkhalli el-7asoub ytarjem bsur3a, biddi ajarrbo.","sme3et inno fi barnamej jdid bkhalli el-kompyuter ytarjem bsur3a, biddi ajarrbo."
Palestinian,The calm atmosphere in the village allows a person to think well and be creative.,الأجواء الهادية في القرية بتخلي الواحد يفكر منيح ويبدع.,الأجواء الهادية في القرية بتخلي الواحد يفكر منيح ويبدع.,el-ajwa el-hadiye fi el-qarye bitkhalli el-wahid yifakker mnih w yibde3.,el-ajwa el-hadiye fi el-qarye bitkhalli el-wahid yifakker mnih w yibde3.
Palestinian,"He thought about it a lot in his mind before making the decision, and now he's confident he did the right thing.",زانها بعقله كتير قبل ما يتخذ القرار، وهلأ مطمئن إنه عمل الصح.,فكّر فيها كتير بعقله قبل ما ياخد القرار، وهلأ واثق إنه عمل الصح.,"Zanha b'aqlo ktir qabel ma yittikhid el-qarar, w halla' mutma'en innu 3amel es-sah.","Fakkar fiha ktir b'aqlo qabel ma yakhod el-qarar, w halla' watheq innu 3amel es-sah."
Syrian,"The new car is very expensive, but if we use it for work, we can say it will pay for itself in a year.",السيارة الجديدة غالية كتير، بس إذا استعملناها للشغل، فينا نقول إنها رح تطالع حقها بسنة.,السيارة الجديدة غالية كتير، بس إذا استخدمناها بالشغل، فينا نقول إنها رح تطلّع حقها خلال سنة.,"el-sayyara el-jdide ghaliye ktir, bas iza ista‘malnaha la-sh-shoghl, fina n’oul enna rah ttale‘ ha’a b-sane.","el-sayyara el-jdide ghaliye ktir, bas iza stakhdamnaha b-sh-shoghl, fina n’oul enna rah ttalle‘ ha’a khlal sane."
Lebanese,"After the exams, we have to go on a long trip to relax.",بعد الإمتحانات، لازم نطلع عتش طويل لنريح بالنا.,بعد الإمتحانات، لازم نطلع برحلة طويلة لنروّق ونريح بالنا.,"ba3d el-imti7anat, lazem netla3 3a tesh tawil la-nrayye7 balna.","ba3d el-imti7anat, lazem netla3 bi ri7le tawile la-nrawwe2 w nريّe7 balna."
Egyptian,"We don't want to say ""more is better,"" but the truth is that too much of a good thing isn't good.",مش عايزين نقول زيادة الخير خيرين، بس الحقيقة إن الخير مبيزيدش عن حده.,مش عايزين نقول إن الزيادة أحسن، بس الحقيقة إن الحاجة الحلوة لما تزيد عن حدها ما تبقاش حلوة.,"mish 3ayzeen ne2ool zeyadet el-kheir kheirein, bas el-7a2ee2a en el-kheir mabyezidsh 3an 7addo.","mish 3ayzeen ne2ool en el-zeyada a7san, bas el-7a2ee2a en el-7aga el-7elwa lamma tezeed 3an 7addaha ma teb2ash 7elwa."
Palestinian,The new cook at the restaurant knows how to make Palestinian dishes like Maqluba and Musakhan.,الطباخ الجديد في المطعم بيعرف يسوي أطباق فلسطينية زي المقلوبة والمسخن.,الطباخ الجديد بالمطعم بعرف يعمل أكلات فلسطينية زي المقلوبة والمسخن.,el-tabakh el-jdid fi el-mat'am bi'raf ysawwi atbaq falastiniyye zay el-maqlube wel-msakhan.,el-tabakh el-jdid bel-mat'am ba'raf ya'mal aklat falastiniyye zay el-maqlube wel-msakhan.
Palestinian,Economic shocks can greatly affect people's lives and cause many families to suffer from financial difficulties.,الهزات الاقتصادية بتقدر تأثر على حياة الناس بشكل كبير، وبتخلي كتير عائلات تعاني من صعوبات مالية.,الهزات الاقتصادية ممكن تأثر كتير على حياة الناس وتخلي عائلات كتيرة تعاني من صعوبات مالية.,"il-hazzat il-iqtisadiyye bti'dar ta'thar 3ala hayat in-nas bshakel kbir, wbtkhalli ktir 3a'ilat t3ani min su3ubat maliyye.",il-hazzat il-iqtisadiyye mumkin ta'thar ktir 3ala hayat in-nas wtkhalli 3a'ilat ktire t3ani min su3ubat maliyye.
Palestinian,"I heard there's a new restaurant in town called 'The Joker,' I want to go try it.",سمعت إنه في مطعم جديد بالبلد اسمه 'الجوكر'، بدي أروح أجربه.,سمعت إنه في مطعم جديد بالبلد اسمه 'الجوكر'، بدي أروح أجربه.,"sme'et inno fi mat'am jdid bil-balad ismo 'el-joker', biddi arouh ajarrbo.","sme'et inno fi mat'am jdid bil-balad ismo 'el-joker', biddi arouh ajarrbo."
Palestinian,"I can't ignore his captivating beauty; every time I see him, my eyes are drawn to him.",ما بقدر أتجاهل جماله الفتان، كل ما بشوفه بتخطف عيني عليه.,ما بقدر أتجاهل جماله الفتّان؛ كل ما بشوفه بتنجذب عيوني إله.,"ma ba'dar atajahhal jamalo el-fattan, kul ma bashufo bitkhattaf 3eini 3aleih.",ma ba'dar atajahhal jamalo el-fattan; kul ma bashufo bitinjazab 3yooni elo.
